UE,Éléments constitutifs,MCC 40%,Examen 60%,Moy EC,Coef,Étudiant
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,9.02,14.52,12.32,"1,50",Etudiant_88
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,8.56,10.64,9.81,"1,75",Etudiant_88
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,7.32,8.66,8.12,"1,00",Etudiant_88
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,9.7,14.87,12.8,"1,00",Etudiant_89
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,14.99,12.5,13.5,"2,00",Etudiant_89
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,13.06,14.28,13.79,"1,50",Etudiant_89
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,17.44,18.17,17.88,"1,75",Etudiant_89
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,17.53,16.01,16.62,"1,00",Etudiant_89
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,12.62,9.83,10.95,"1,00",Etudiant_90
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,14.31,14.06,14.16,"2,00",Etudiant_90
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,14.03,12.03,12.83,"1,50",Etudiant_90
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,13.79,14.46,14.19,"1,75",Etudiant_90
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,15.03,9.31,11.59,"1,00",Etudiant_90
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,8.32,14.74,12.17,"1,00",Etudiant_91
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,15.91,15.44,15.63,"2,00",Etudiant_91
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,15.15,10.6,12.42,"1,50",Etudiant_91
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,9.44,9.41,9.42,"1,75",Etudiant_91
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,12.4,7.64,9.55,"1,00",Etudiant_91
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,14.46,12.69,13.4,"1,00",Etudiant_92
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,11.34,18.98,15.92,"2,00",Etudiant_92
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,17.21,17.39,17.32,"1,50",Etudiant_92
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,17.09,17.16,17.13,"1,75",Etudiant_92
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,8.92,8.14,8.45,"1,00",Etudiant_92
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,10.25,15.9,13.64,"1,00",Etudiant_93
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,10.18,18.33,15.07,"2,00",Etudiant_93
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,18.77,12.03,14.72,"1,50",Etudiant_93
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,7.36,9.56,8.68,"1,75",Etudiant_93
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,9.87,8.89,9.28,"1,00",Etudiant_93
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,19.88,19.92,19.91,"1,00",Etudiant_94
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,17.81,7.57,11.67,"2,00",Etudiant_94
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,14.13,13.36,13.67,"1,50",Etudiant_94
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,12.08,19.19,16.35,"1,75",Etudiant_94
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,11.17,17.37,14.89,"1,00",Etudiant_94
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,7.03,14.73,11.65,"1,00",Etudiant_95
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,18.29,13.84,15.62,"2,00",Etudiant_95
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,17.55,9.98,13.01,"1,50",Etudiant_95
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,13.87,12.11,12.82,"1,75",Etudiant_95
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,13.47,7.59,9.95,"1,00",Etudiant_95
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,19.49,10.85,14.3,"1,00",Etudiant_96
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,11.44,16.36,14.39,"2,00",Etudiant_96
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,8.79,15.5,12.82,"1,50",Etudiant_96
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,18.72,11.18,14.2,"1,75",Etudiant_96
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,15.05,12.31,13.4,"1,00",Etudiant_96
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,9.2,19.12,15.15,"1,00",Etudiant_97
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,15.71,16.8,16.36,"2,00",Etudiant_97
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,8.58,7.09,7.69,"1,50",Etudiant_97
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,14.53,13.74,14.06,"1,75",Etudiant_97
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,19.28,16.25,17.46,"1,00",Etudiant_97
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,9.24,12.37,11.12,"1,00",Etudiant_98
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,16.16,15.58,15.81,"2,00",Etudiant_98
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,16.09,16.08,16.08,"1,50",Etudiant_98
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,15.2,8.99,11.47,"1,75",Etudiant_98
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,12.51,8.47,10.09,"1,00",Etudiant_98
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,9.62,12.04,11.07,"1,00",Etudiant_99
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,11.1,18.51,15.55,"2,00",Etudiant_99
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,14.8,12.37,13.34,"1,50",Etudiant_99
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,17.01,13.1,14.66,"1,75",Etudiant_99
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,11.81,19.41,16.37,"1,00",Etudiant_99
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,8.1,13.07,11.08,"1,00",Etudiant_100
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,9.67,14.98,12.86,"2,00",Etudiant_100
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,9.09,9.18,9.14,"1,50",Etudiant_100
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,12.72,18.47,16.17,"1,75",Etudiant_100
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,15.79,7.43,10.77,"1,00",Etudiant_100
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,11.56,7.68,9.23,"1,00",Etudiant_101
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,15.89,16.3,16.14,"2,00",Etudiant_101
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,15.97,11.03,13.0,"1,50",Etudiant_101
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,8.83,18.35,14.54,"1,75",Etudiant_101
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,16.29,8.18,11.42,"1,00",Etudiant_101
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,7.48,7.78,7.66,"1,00",Etudiant_102
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,9.62,14.32,12.44,"2,00",Etudiant_102
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,7.83,13.96,11.51,"1,50",Etudiant_102
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,10.46,11.11,10.85,"1,75",Etudiant_102
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,15.56,13.99,14.62,"1,00",Etudiant_102
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,15.67,13.54,14.4,"1,00",Etudiant_103
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,17.39,8.28,11.93,"2,00",Etudiant_103
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,15.59,12.46,13.71,"1,50",Etudiant_103
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,16.76,13.88,15.03,"1,75",Etudiant_103
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,11.72,9.35,10.3,"1,00",Etudiant_103
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,9.86,12.34,11.35,"1,00",Etudiant_104
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,11.49,13.18,12.5,"2,00",Etudiant_104
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,19.08,9.23,13.17,"1,50",Etudiant_104
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,9.56,15.33,13.02,"1,75",Etudiant_104
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,19.16,7.51,12.17,"1,00",Etudiant_104
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,11.95,15.4,14.02,"1,00",Etudiant_105
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,18.37,15.48,16.64,"2,00",Etudiant_105
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,11.32,12.25,11.88,"1,50",Etudiant_105
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,8.49,17.94,14.16,"1,75",Etudiant_105
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,19.67,7.6,12.43,"1,00",Etudiant_105
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,10.92,9.14,9.85,"1,00",Etudiant_106
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,7.63,8.93,8.41,"2,00",Etudiant_106
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,9.99,8.84,9.3,"1,50",Etudiant_106
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,18.03,12.09,14.47,"1,75",Etudiant_106
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,18.05,18.58,18.37,"1,00",Etudiant_106
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,14.91,17.89,16.7,"1,00",Etudiant_107
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,11.2,15.48,13.77,"2,00",Etudiant_107
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,13.95,18.63,16.76,"1,50",Etudiant_107
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,16.73,8.29,11.66,"1,75",Etudiant_107
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,18.63,11.91,14.6,"1,00",Etudiant_107
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,16.12,9.4,12.09,"1,00",Etudiant_108
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,13.29,7.5,9.82,"2,00",Etudiant_108
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,15.93,17.67,16.97,"1,50",Etudiant_108
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,15.5,15.64,15.58,"1,75",Etudiant_108
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,16.79,8.66,11.91,"1,00",Etudiant_108
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,11.75,11.25,11.45,"1,00",Etudiant_109
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,9.94,18.33,14.97,"2,00",Etudiant_109
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,12.09,14.36,13.45,"1,50",Etudiant_109
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,16.03,11.62,13.38,"1,75",Etudiant_109
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,8.35,10.35,9.55,"1,00",Etudiant_109
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,14.82,15.39,15.17,"1,00",Etudiant_110
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,10.26,18.92,15.46,"2,00",Etudiant_110
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,15.14,8.12,10.93,"1,50",Etudiant_110
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,10.29,14.61,12.89,"1,75",Etudiant_110
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,17.57,18.5,18.13,"1,00",Etudiant_110
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,15.92,8.57,11.51,"1,00",Etudiant_111
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,15.08,16.2,15.75,"2,00",Etudiant_111
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,9.33,10.89,10.27,"1,50",Etudiant_111
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,8.0,7.5,7.7,"1,75",Etudiant_111
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,18.24,14.48,15.98,"1,00",Etudiant_111
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,14.79,18.06,16.75,"1,00",Etudiant_112
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,14.0,9.38,11.22,"2,00",Etudiant_112
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,12.26,10.69,11.32,"1,50",Etudiant_112
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,7.33,11.44,9.8,"1,75",Etudiant_112
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,15.23,15.9,15.63,"1,00",Etudiant_112
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,16.17,10.06,12.5,"1,00",Etudiant_113
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,9.53,15.66,13.21,"2,00",Etudiant_113
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,8.24,14.22,11.83,"1,50",Etudiant_113
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,9.47,9.0,9.19,"1,75",Etudiant_113
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,7.59,18.95,14.41,"1,00",Etudiant_113
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,10.1,8.97,9.42,"1,00",Etudiant_114
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,8.14,9.01,8.66,"2,00",Etudiant_114
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,17.78,9.04,12.54,"1,50",Etudiant_114
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,9.56,19.76,15.68,"1,75",Etudiant_114
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,15.43,17.18,16.48,"1,00",Etudiant_114
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,16.63,15.78,16.12,"1,00",Etudiant_115
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,9.39,16.81,13.84,"2,00",Etudiant_115
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,19.27,10.76,14.16,"1,50",Etudiant_115
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,11.82,9.4,10.37,"1,75",Etudiant_115
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,16.09,17.78,17.1,"1,00",Etudiant_115
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,19.31,13.62,15.9,"1,00",Etudiant_116
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,11.23,19.79,16.36,"2,00",Etudiant_116
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,19.15,19.97,19.64,"1,50",Etudiant_116
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,17.27,18.21,17.83,"1,75",Etudiant_116
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,11.44,15.07,13.62,"1,00",Etudiant_116
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,13.34,12.23,12.67,"1,00",Etudiant_117
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,11.9,14.41,13.4,"2,00",Etudiant_117
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,8.45,18.5,14.48,"1,50",Etudiant_117
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,15.38,11.33,12.95,"1,75",Etudiant_117
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,7.99,19.39,14.83,"1,00",Etudiant_117
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,17.78,16.93,17.27,"1,00",Etudiant_118
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,7.77,10.64,9.49,"2,00",Etudiant_118
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,7.81,10.52,9.44,"1,50",Etudiant_118
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,10.04,10.1,10.08,"1,75",Etudiant_118
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,19.64,13.17,15.76,"1,00",Etudiant_118
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,10.79,16.81,14.41,"1,00",Etudiant_119
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,7.15,18.16,13.75,"2,00",Etudiant_119
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,8.72,17.16,13.79,"1,50",Etudiant_119
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,15.82,9.58,12.07,"1,75",Etudiant_119
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,19.99,16.79,18.07,"1,00",Etudiant_119
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,9.99,16.73,14.03,"1,00",Etudiant_120
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,19.53,16.83,17.91,"2,00",Etudiant_120
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,10.66,7.94,9.03,"1,50",Etudiant_120
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,11.32,12.67,12.13,"1,75",Etudiant_120
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,7.46,8.97,8.36,"1,00",Etudiant_120
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,17.92,9.18,12.67,"1,00",Etudiant_121
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,8.69,8.02,8.29,"2,00",Etudiant_121
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,17.87,13.41,15.2,"1,50",Etudiant_121
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,13.87,8.61,10.72,"1,75",Etudiant_121
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,13.75,11.41,12.35,"1,00",Etudiant_121
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,9.66,13.28,11.83,"1,00",Etudiant_122
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,9.47,9.12,9.26,"2,00",Etudiant_122
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,8.82,8.88,8.86,"1,50",Etudiant_122
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,13.83,9.68,11.34,"1,75",Etudiant_122
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,16.09,14.85,15.35,"1,00",Etudiant_122
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,14.26,12.24,13.05,"1,00",Etudiant_123
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,7.41,16.76,13.02,"2,00",Etudiant_123
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,17.8,17.15,17.41,"1,50",Etudiant_123
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,9.3,7.78,8.39,"1,75",Etudiant_123
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,8.96,16.18,13.29,"1,00",Etudiant_123
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,9.85,8.3,8.92,"1,00",Etudiant_124
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,15.83,11.96,13.51,"2,00",Etudiant_124
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,7.25,11.57,9.84,"1,50",Etudiant_124
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,13.7,17.28,15.85,"1,75",Etudiant_124
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,7.15,8.93,8.22,"1,00",Etudiant_124
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,11.96,15.21,13.91,"1,00",Etudiant_125
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,8.0,12.81,10.89,"2,00",Etudiant_125
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,7.12,7.79,7.52,"1,50",Etudiant_125
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,8.02,7.39,7.64,"1,75",Etudiant_125
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,9.28,17.81,14.4,"1,00",Etudiant_125
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,10.71,11.64,11.26,"1,00",Etudiant_126
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,16.04,16.77,16.48,"2,00",Etudiant_126
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,16.26,7.39,10.94,"1,50",Etudiant_126
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,19.92,16.62,17.94,"1,75",Etudiant_126
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,11.63,7.31,9.04,"1,00",Etudiant_126
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,7.42,8.6,8.12,"1,00",Etudiant_127
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,14.5,19.95,17.77,"2,00",Etudiant_127
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,8.42,7.21,7.7,"1,50",Etudiant_127
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,17.99,8.1,12.06,"1,75",Etudiant_127
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,19.23,17.31,18.08,"1,00",Etudiant_127
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,18.15,18.48,18.35,"1,00",Etudiant_128
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,19.62,12.57,15.39,"2,00",Etudiant_128
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,19.25,19.2,19.22,"1,50",Etudiant_128
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,7.81,18.09,13.98,"1,75",Etudiant_128
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,7.45,10.09,9.04,"1,00",Etudiant_128
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,15.86,16.5,16.25,"1,00",Etudiant_129
UE3.5.2 OUTILS DE PROGRAMMATION 7,Programmation web 1 : Laravel,15.23,11.7,13.11,"2,00",Etudiant_129
UE3.5.3 INTELLIGENCE ARTIFICIELLE,Python for data science,15.01,17.0,16.2,"1,50",Etudiant_129
UE3.5.4 OUTILS DE TECHNOLOGIE WEB,Technologie web 1 : Node JS,8.8,8.27,8.48,"1,75",Etudiant_129
UE3.5.5 INTRODUCTION À LA CYBERSÉCURITÉ,Cryptographie et sécurité des SI,19.72,8.71,13.11,"1,00",Etudiant_129
UE3.5.1 OUTILS DE COMMUNICATION ET DE GESTION,Communication d'entreprise,18.12,18.06,18.09,"1,00",Etudiant_130
